image_nr,precision,recall,score
65084.jpg,0.01830699421060867,1.0,0.035955746773202214
134049.jpg,0.0044965366748772545,1.0,0.008952816681204023
326085.jpg,0.003939330504120121,0.9904306220095693,0.007847448631435288
43033.jpg,0.0022304832713754648,1.0,0.004451038575667656
334025.jpg,0.004782491218589571,1.0,0.009519455723774438
104010.jpg,0.004240121045779232,0.9958677685950413,0.008444288717589347
160006.jpg,0.009752639812280016,0.9975,0.019316421378776143
79073.jpg,0.008720675194328929,0.9979919678714859,0.017290264224460332
226043.jpg,0.02027644505368974,0.9870250231696015,0.03973658190772904
388018.jpg,0.022111485846375383,0.9948849104859335,0.04326147800782191
100099.jpg,0.0057402092398851955,1.0,0.011414894596336185
196040.jpg,0.0074094269722387055,0.9978401727861771,0.014709628120224146
268074.jpg,0.005213764337851929,1.0,0.010373443983402487
5096.jpg,0.01541008399926424,0.9908015768725361,0.03034815858321594
285022.jpg,0.011729244479391915,0.9944444444444445,0.023185026876497636
112056.jpg,0.009054054054054054,1.0,0.017945627427346993
51084.jpg,0.012163303613327077,1.0,0.02403427109025833
388006.jpg,0.006675333766688335,0.956989247311828,0.013258187054646571
189013.jpg,0.01758786888018264,0.9920508744038156,0.03456297773346627
108069.jpg,0.0022440080211350542,1.0,0.004477967447399762
70090.jpg,0.0026695632962662934,1.0,0.005324911404491287
108004.jpg,0.003688267010684397,1.0,0.007349427370849469
207038.jpg,0.005212275510906214,0.9967105263157895,0.01037031966595934
48025.jpg,0.020942152794727848,0.9805714285714285,0.04100848368980762
10081.jpg,0.011262695672577348,0.9853372434017595,0.022270829190693973
15062.jpg,0.0035049719405336223,1.0,0.0069854600396366
243095.jpg,0.02414334292440492,0.9654811715481172,0.047108661256571226
103029.jpg,0.004021826561446988,0.9946236559139785,0.00801125906679658
45000.jpg,0.005283488698761333,1.0,0.010511440321376965
78098.jpg,0.005651954784361725,0.9968253968253968,0.011240178267795458
128035.jpg,0.0200231423253006,0.9912826899128269,0.03925339645437286
120003.jpg,0.01541968780673147,0.874326750448833,0.030304915992532672
175083.jpg,0.007449622656189216,0.9973958333333334,0.014788786778901846
196062.jpg,0.007559294961089133,1.0,0.01500516148060758
87015.jpg,0.004738209359335553,1.0,0.009431729211048597
112090.jpg,0.004467702235919499,1.0,0.0088956613059325
189096.jpg,0.0032876712328767125,1.0,0.00655379574003277
217013.jpg,0.007861369399830937,0.9893617021276596,0.015598792351559877
179084.jpg,0.017347576397774272,1.0,0.03410353904650482
376086.jpg,0.004390315588375767,1.0,0.008742249940560016
277053.jpg,0.011864826902420888,0.9972222222222222,0.023450640973299585
140006.jpg,0.008568956373684652,0.9935275080906149,0.016991365950852336
232076.jpg,0.0035893896065476777,0.9891304347826086,0.007152822810430544
117025.jpg,0.008080122897671727,1.0,0.016030715642811905
347031.jpg,0.006679621083313092,0.9482758620689655,0.01326579835986493
206097.jpg,0.0016681082416903498,1.0,0.003330660581015235
289011.jpg,0.006410401101505541,0.9964912280701754,0.012738853503184714
141012.jpg,0.002064750578130162,1.0,0.0041209923349542574
130014.jpg,0.008983451536643027,1.0,0.01780693533270853
159022.jpg,0.004365690806368772,0.9596774193548387,0.00869184135563509
220003.jpg,0.010689929291661437,0.998046875,0.021153288901767604
206062.jpg,0.017940199335548173,1.0,0.03524804177545692
259060.jpg,0.00860461781155887,0.9905660377358491,0.01706103381740632
145059.jpg,0.010010051934997486,0.9855670103092784,0.019818811285942324
189006.jpg,0.010512623677925622,0.9939516129032258,0.020805199189736664
