image_nr,precision,recall,score
92014.jpg,0.009228819265655325,0.9688149688149689,0.0182834722903384
189013.jpg,0.016290694361710392,1.0,0.03205912334352701
346016.jpg,0.00423144287552118,1.0,0.008427226423830836
64061.jpg,0.013229883973210075,0.9807692307692307,0.026107594936708858
176051.jpg,0.0077157253831618726,1.0,0.015313297567581645
232076.jpg,0.0038649179496927076,0.9945652173913043,0.007699913744135654
326085.jpg,0.0038787743815303526,1.0,0.00772757524217999
235098.jpg,0.0176813439780575,1.0,0.0347482914621234
201080.jpg,0.017426545086119554,1.0,0.03425612427803226
207038.jpg,0.005037199052211231,1.0,0.010023905696150357
23050.jpg,0.007404297545895195,1.0,0.014699753741238872
161045.jpg,0.009436381352889892,1.0,0.018696336940507034
196088.jpg,0.004316048138113541,1.0,0.008594999843156939
147080.jpg,0.009516240779231366,1.0,0.018853071193556854
78098.jpg,0.005210461789946874,0.9714285714285714,0.010365326965093237
41096.jpg,0.0035688255548015782,1.0,0.007112268663444441
317043.jpg,0.004180602006688963,1.0,0.00832639467110741
198087.jpg,0.0163921730600444,0.9952978056426333,0.032253149126371394
101084.jpg,0.006042852360227653,0.9972375690607734,0.012012911383980564
123057.jpg,0.007041859945229979,0.9869451697127938,0.013983944360179053
187058.jpg,0.004787402625565064,0.9896551724137931,0.009528710635966733
112090.jpg,0.0041758496694119015,1.0,0.008316968926879982
163004.jpg,0.007454537818655243,1.0,0.014798757738082832
175083.jpg,0.007374263053789872,1.0,0.014640562746630573
15062.jpg,0.0034202898550724638,0.9943820224719101,0.006817131412725312
206062.jpg,0.016936748562467328,1.0,0.03330934512182584
335088.jpg,0.010767094191651009,1.0,0.021304797620587092
48025.jpg,0.02085255134242851,0.9817142857142858,0.040837671444531605
87015.jpg,0.004468444843173113,1.0,0.008897133336768519
104055.jpg,0.006729652118634779,0.9935275080906149,0.013368751088660513
250047.jpg,0.0048284424824106735,1.0,0.009610481308594515
302022.jpg,0.005381394074595906,1.0,0.010705179360414192
226022.jpg,0.009938464543856221,1.0,0.019681326917962233
41029.jpg,0.002226667169868287,1.0,0.0044434402771501725
80085.jpg,0.011200389578767957,1.0,0.022152660727185167
108069.jpg,0.0021851995350639286,1.0,0.004360869699687625
238025.jpg,0.01103559497753715,1.0,0.021830279828639138
145079.jpg,0.006158128539017369,1.0,0.012240876189032478
164046.jpg,0.004539026504265316,1.0,0.009037033673168184
80090.jpg,0.003170678206074142,1.0,0.006321313561006639
14085.jpg,0.0010568031704095112,0.9230769230769231,0.00211118930330753
306052.jpg,0.0029290234844918665,1.0,0.005840938722294654
104010.jpg,0.003973792673114501,1.0,0.007916128293616395
296028.jpg,0.014216945601476566,0.9947643979057592,0.028033246446663062
108004.jpg,0.003571485770111629,1.0,0.007117551307012224
368037.jpg,0.005360205831903945,0.9615384615384616,0.01066098081023454
225022.jpg,0.02368563223293241,1.0,0.04627520693294817
103029.jpg,0.003953409284135351,1.0,0.00787568277088538
217013.jpg,0.007783295207275567,0.9893617021276596,0.015445084145261292
112056.jpg,0.006921130106915965,1.0,0.013747114644780714
388018.jpg,0.021327231121281466,0.9931798806479113,0.04175776909566651
106005.jpg,0.004780469692750394,1.0,0.009515451060095154
107072.jpg,0.008930982948304734,1.0,0.017703853086573986
279005.jpg,0.009673686646609581,1.0,0.019162006051159804
141012.jpg,0.0020438194898626553,1.0,0.004079301623562046
15011.jpg,0.016343383080297622,1.0,0.03216114425965892
118015.jpg,0.013328932669848685,0.9980988593155894,0.02630655910206945
196062.jpg,0.0074047120895115075,1.0,0.01470057068554504
181021.jpg,0.008857656479816964,0.9890510948905109,0.017558067964624707
267036.jpg,0.007988289418653283,1.0,0.015849964731753867
70011.jpg,0.002828886844526219,1.0,0.005641813636676375
247003.jpg,0.004145842798727851,0.9733333333333334,0.008256517559237685
100007.jpg,0.014284221161551057,1.0,0.02816611135918662
108036.jpg,0.0061043915902264795,0.9690721649484536,0.012132358872594099
196040.jpg,0.007261036618834784,1.0,0.014417388055053871
189096.jpg,0.0031563373335525232,1.0,0.0062928124283045455
250087.jpg,0.01569643058214165,0.9928774928774928,0.030904294233710956
106047.jpg,0.003012540152078834,1.0,0.006006984023593696
94095.jpg,0.004111714507370055,1.0,0.008189755079966004
81066.jpg,0.01778805322261017,0.9830508474576272,0.03494380720658092
33044.jpg,0.0049269877539362345,1.0,0.00980566312573276
81090.jpg,0.013259187018861661,0.9845916795069337,0.026166004668113512
268048.jpg,0.003937547079367254,1.0,0.007844207223491696
79073.jpg,0.008383697244154139,1.0,0.016627990450591826
134067.jpg,0.007678509613871668,1.0,0.015239998750819776
376086.jpg,0.004198285553681844,1.0,0.00836146728007417
159022.jpg,0.00486401037655547,0.967741935483871,0.009679370840895343
217090.jpg,0.007358521696089754,1.0,0.014609538784067084
208078.jpg,0.004744713769984528,1.0,0.009444615542552099
28083.jpg,0.005344360611336816,0.9822222222222222,0.010630877648700002
70090.jpg,0.00257161225801843,0.993103448275862,0.00512994068506083
347031.jpg,0.005799018236386296,0.9827586206896551,0.011530000758552683
388067.jpg,0.024291659996798463,1.0,0.0474311388943153
16004.jpg,0.009417549167927383,0.9900596421471173,0.01865762508663807
43033.jpg,0.002481032684908849,1.0,0.0049497847919655665
206097.jpg,0.0015526164462334674,1.0,0.00310041913073434
288024.jpg,0.020193694621883373,1.0,0.03958796202787316
157032.jpg,0.020458909068018005,0.9715994020926756,0.04007398273736129
226060.jpg,0.008202567760342368,0.9904306220095693,0.016270387109451757
5096.jpg,0.014509886170801,1.0,0.028604721094572245
total,0.009,0.99,0.018
